,Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Trump,Clinton,Other,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
0,Insights West,2016-11-04,2016-11-07,2016-11-08T12:16:30Z,940.0,Likely Voters,Internet,41.0,45.0,2.0,8.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26812,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
1,Insights West,2016-11-04,2016-11-07,2016-11-08T12:16:30Z,,Likely Voters - Democrat,Internet,6.0,89.0,0.0,4.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26812,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
2,Insights West,2016-11-04,2016-11-07,2016-11-08T12:16:30Z,,Likely Voters - Republican,Internet,82.0,7.0,2.0,6.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26812,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
3,Insights West,2016-11-04,2016-11-07,2016-11-08T12:16:30Z,,Likely Voters - independent,Internet,38.0,43.0,4.0,7.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26812,http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
4,IBD/TIPP,2016-11-04,2016-11-07,2016-11-08T12:10:06Z,1107.0,Likely Voters,Live Phone,43.0,41.0,4.0,5.0,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,Nonpartisan,None,,1
5,YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,3669.0,Likely Voters,Internet,41.0,45.0,5.0,4.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,1
6,YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1392.0,Likely Voters - Democrat,Internet,6.0,90.0,2.0,2.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,1
7,YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1110.0,Likely Voters - Republican,Internet,84.0,4.0,4.0,4.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,1
8,YouGov/Economist,2016-11-04,2016-11-07,2016-11-07T21:25:46Z,1167.0,Likely Voters - independent,Internet,44.0,31.0,9.0,8.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805,https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/,Nonpartisan,None,,1
9,Lucid/The Times-Picayune,2016-11-04,2016-11-06,2016-11-07T15:43:26Z,931.0,Likely Voters,Internet,40.0,45.0,2.0,7.0,http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26788,https://luc.id/2016-presidential-tracker/,Nonpartisan,None,,1
